Threshold,Propotion,Duration,Coherence,Phase
428,0.9942,935.4,0.214,61.77
429,0.9927,815.56,0.332,45.81
430,0.9903,668.92,0.464,33.34
431,0.9882,572.59,0.522,30.15
432,0.9856,438.35,0.642,23.95
433,0.9829,334.19,0.615,20.32
434,0.9789,329.56,0.642,15.5
435,0.9753,259.42,0.677,17.51
436,0.9706,210.28,0.582,21.62
437,0.9645,191.6,0.581,28.76
438,0.9597,185.88,0.602,29.72
439,0.9531,156.34,0.615,32.73
440,0.946,149.99,0.524,23.36
441,0.9393,141.19,0.508,13.08
442,0.9311,119.92,0.551,24.5
443,0.92,106.82,0.54,17.65
444,0.9094,88.3,0.517,27.03
445,0.8993,74.75,0.593,37.95
446,0.8885,71.36,0.572,28.62
447,0.8759,63.19,0.684,19.28
448,0.8629,56.11,0.626,19.42
449,0.8476,51.25,0.568,15.68
450,0.8346,46.97,0.572,19.5
451,0.8186,44.09,0.636,18.04
452,0.8026,40.52,0.711,15.45
453,0.7896,37.81,0.706,8.05
454,0.7702,34.51,0.724,11.85
455,0.7518,33.37,0.713,9.3
456,0.7322,32.06,0.766,12.11
457,0.7132,30.03,0.611,17.23
458,0.693,28.4,0.68,20.03
459,0.6731,27.51,0.676,15.27
460,0.6529,26.22,0.785,18.7
461,0.6312,25.67,0.67,27.75
462,0.6105,25.16,0.615,15.9
463,0.5892,24.64,0.625,10.28
464,0.5687,24.2,0.602,22.07
465,0.547,23.91,0.595,14.88
466,0.5236,23.5,0.48,22.67
467,0.501,23.48,0.351,35.92
468,0.4806,23.56,0.339,56.2
469,0.4585,23.52,0.298,59.55
470,0.4345,23.46,0.238,98.14
471,0.4134,23.58,0.313,104.48
472,0.392,23.76,0.46,137.24
473,0.3713,23.99,0.425,150.47
474,0.3492,24.34,0.664,163.86
475,0.3281,25.24,0.677,168.71
476,0.3097,25.78,0.748,162.54
477,0.2903,27.21,0.752,174.2
478,0.2718,28.19,0.771,166.05
479,0.2557,29.46,0.791,169.91
480,0.2399,30.84,0.767,169.0
481,0.2222,32.4,0.748,169.05
482,0.204,34.51,0.785,164.65
483,0.1903,36.09,0.774,170.47
484,0.175,38.34,0.742,168.04
485,0.1617,40.91,0.632,168.51
486,0.1476,44.98,0.601,164.31
487,0.1357,49.47,0.623,158.5
488,0.1243,55.29,0.65,157.58
489,0.1136,57.38,0.652,152.37
490,0.1033,65.57,0.613,153.55
491,0.0924,75.64,0.78,171.05
492,0.083,87.06,0.741,160.91
493,0.0752,96.1,0.733,169.94
494,0.0692,101.65,0.63,158.79
495,0.0619,107.54,0.619,153.05
496,0.0547,120.77,0.519,139.53
497,0.0487,126.47,0.568,143.74
498,0.0426,146.91,0.666,129.52
499,0.0366,170.5,0.674,143.67
500,0.0322,180.03,0.54,134.96
501,0.028,213.39,0.577,153.87
502,0.0239,236.7,0.515,141.25
503,0.0202,277.64,0.66,140.1
504,0.0176,308.89,0.478,156.18
505,0.0147,412.13,0.467,128.54
506,0.0119,446.81,0.489,137.08
507,0.0098,467.4,0.438,121.86
508,0.0089,605.16,0.294,117.5
509,0.007,636.6,0.233,111.82
510,0.0056,766.26,0.306,82.97
